| №   | Дата/время         | Температура | Осадки (мм)  |
|-----|--------------------|-------------|--------------|
| 1   | 2025-05-11T00:00   | 5.3         | 0,10         |
| 2   | 2025-05-11T01:00   | 5.4         | 0,08         |
| 3   | 2025-05-11T02:00   | 5.0         | 0,03         |
| 4   | 2025-05-11T03:00   | 4.5         | 0,03         |
| 5   | 2025-05-11T04:00   | 3.7         | 0,00         |
| 6   | 2025-05-11T05:00   | 3.4         | 0,00         |
| 7   | 2025-05-11T06:00   | 3.9         | 0,00         |
| 8   | 2025-05-11T07:00   | 4.9         | 0,00         |
| 9   | 2025-05-11T08:00   | 6.5         | 0,00         |
| 10  | 2025-05-11T09:00   | 7.0         | 0,00         |
| 11  | 2025-05-11T10:00   | 7.9         | 0,03         |
| 12  | 2025-05-11T11:00   | 8.2         | 0,03         |
| 13  | 2025-05-11T12:00   | 8.7         | 0,05         |
| 14  | 2025-05-11T13:00   | 9.4         | 0,08         |
| 15  | 2025-05-11T14:00   | 9.6         | 0,08         |
| 16  | 2025-05-11T15:00   | 10.0        | 0,13         |
| 17  | 2025-05-11T16:00   | 10.2        | 0,05         |
| 18  | 2025-05-11T17:00   | 10.0        | 0,05         |
| 19  | 2025-05-11T18:00   | 9.7         | 0,05         |
| 20  | 2025-05-11T19:00   | 8.8         | 0,00         |
| 21  | 2025-05-11T20:00   | 7.4         | 0,00         |
| 22  | 2025-05-11T21:00   | 6.3         | 0,00         |
| 23  | 2025-05-11T22:00   | 5.4         | 0,00         |
| 24  | 2025-05-11T23:00   | 5.0         | 0,00         |
